"AGE","GEO","TIME","SEX","UNIT","Value"
"Total","European Union - 27 countries (2007-2013)","2010","Females","Number","255.442.459"
"Total","European Union - 27 countries (2007-2013)","2011","Total","Number","498.674.980"
"Total","European Union - 27 countries (2007-2013)","2011","Males","Number","243.116.541"
"Total","European Union - 27 countries (2007-2013)","2011","Females","Number","255.558.439"
"Total","European Union - 27 countries (2007-2013)","2012","Total","Number","499.771.980"
"Total","European Union - 27 countries (2007-2013)","2012","Males","Number","243.690.547"
"Total","European Union - 27 countries (2007-2013)","2012","Females","Number","256.081.433"
"Total","European Union - 27 countries (2007-2013)","2013","Total","Number","500.900.868"
"Total","European Union - 27 countries (2007-2013)","2013","Males","Number","244.325.187"
"Total","European Union - 27 countries (2007-2013)","2013","Females","Number","256.575.681"
"Total","European Union - 27 countries (2007-2013)","2014","Total","Number","502.988.282"
"Total","European Union - 27 countries (2007-2013)","2014","Males","Number","245.460.902"
"Total","European Union - 27 countries (2007-2013)","2014","Females","Number","257.527.380"
"Total","European Union - 27 countries (2007-2013)","2015","Total","Number","504.294.889"
"Total","European Union - 27 countries (2007-2013)","2015","Males","Number","246.179.756"
"Total","European Union - 27 countries (2007-2013)","2015","Females","Number","258.115.133"
"Total","European Union - 27 countries (2007-2013)","2016","Total","Number","505.991.205"
"Total","European Union - 27 countries (2007-2013)","2016","Males","Number","247.272.618"
"Total","European Union - 27 countries (2007-2013)","2016","Females","Number","258.718.587"
"Total","European Union - 27 countries (2007-2013)","2017","Total","Number","507.219.065"
"Total","European Union - 27 countries (2007-2013)","2017","Males","Number","247.964.040"
"Total","European Union - 27 countries (2007-2013)","2017","Females","Number","259.255.025"
"Total","European Union - 27 countries (2007-2013)","2018","Total","Number","508.273.732"
"Total","European Union - 27 countries (2007-2013)","2018","Males","Number","248.565.184"
"Total","European Union - 27 countries (2007-2013)","2018","Females","Number","259.708.548"
"Total","Euro area (19 countries)","1960","Total","Number","263.140.292"
"Total","Euro area (19 countries)","1960","Males","Number",":"
"Total","Euro area (19 countries)","1960","Females","Number",":"
"Total","Euro area (19 countries)","1961","Total","Number",":"
"Total","Euro area (19 countries)","1961","Males","Number",":"
"Total","Euro area (19 countries)","1961","Females","Number",":"
"Total","Euro area (19 countries)","1962","Total","Number",":"
"Total","Euro area (19 countries)","1962","Males","Number",":"
"Total","Euro area (19 countries)","1962","Females","Number",":"
"Total","Euro area (19 countries)","1963","Total","Number",":"
"Total","Euro area (19 countries)","1963","Males","Number",":"
"Total","Euro area (19 countries)","1963","Females","Number",":"
"Total","Euro area (19 countries)","1964","Total","Number",":"
"Total","Euro area (19 countries)","1964","Males","Number",":"
"Total","Euro area (19 countries)","1964","Females","Number",":"
"Total","Euro area (19 countries)","1965","Total","Number","275.430.651"
"Total","Euro area (19 countries)","1965","Males","Number",":"
"Total","Euro area (19 countries)","1965","Females","Number",":"
"Total","Euro area (19 countries)","1966","Total","Number",":"
"Total","Euro area (19 countries)","1966","Males","Number",":"
"Total","Euro area (19 countries)","1966","Females","Number",":"
"Total","Euro area (19 countries)","1967","Total","Number",":"
"Total","Euro area (19 countries)","1967","Males","Number",":"
"Total","Euro area (19 countries)","1967","Females","Number",":"
"Total","Euro area (19 countries)","1968","Total","Number",":"
"Total","Euro area (19 countries)","1968","Males","Number",":"
"Total","Euro area (19 countries)","1968","Females","Number",":"
"Total","Euro area (19 countries)","1969","Total","Number",":"
"Total","Euro area (19 countries)","1969","Males","Number",":"
"Total","Euro area (19 countries)","1969","Females","Number",":"
"Total","Euro area (19 countries)","1970","Total","Number","285.508.883"
"Total","Euro area (19 countries)","1970","Males","Number",":"
"Total","Euro area (19 countries)","1970","Females","Number",":"
"Total","Euro area (19 countries)","1971","Total","Number","286.798.638"
"Total","Euro area (19 countries)","1971","Males","Number",":"
"Total","Euro area (19 countries)","1971","Females","Number",":"
